amplicon,chromosome,start,end,pos,length,distance,old_amplicon_name,old_amplicon_name_primers_fwd,old_amplicon_name_primers_rev
Pf3D7_01_v3_162899_163196,Pf3D7_01_v3,162899,163196,163047.5,298,16256.5,PF3D7_0103600,PF3D7_0103600,PF3D7_0103600
Pf3D7_01_v3_179215_179393,Pf3D7_01_v3,179215,179393,179304,179,173881.5,PF3D7_0104100_1,PF3D7_0104100_1,PF3D7_0104100_1
Pf3D7_01_v3_353038_353333,Pf3D7_01_v3,353038,353333,353185.5,296,Inf,PSOP24,PSOP24,PSOP24
Pf3D7_02_v3_290552_290785,Pf3D7_02_v3,290552,290785,290668.5,234,24086.5,PF3D7_0207300,PF3D7_0207300,PF3D7_0207300
Pf3D7_02_v3_314636_314874,Pf3D7_02_v3,314636,314874,314755,239,6137,PfSERA3,SERA3,SERA3
Pf3D7_02_v3_320763_321021,Pf3D7_02_v3,320763,321021,320892,259,149242.5,PfSERA2_1,PfSERA2,PfTSERA2
Pf3D7_02_v3_469992_470277,Pf3D7_02_v3,469992,470277,470134.5,286,59559.5,PF3D7_0211700,PF3D7_0211700,PF3D7_0211700
Pf3D7_02_v3_529614_529774,Pf3D7_02_v3,529614,529774,529694,161,184665,PF3D7_0212800,PF3D7_0212800,PF3D7_0212800
Pf3D7_02_v3_714206_714512,Pf3D7_02_v3,714206,714512,714359,307,125276.5,PF3D7_0217200,PF3D7_0217200,PF3D7_0217200
Pf3D7_02_v3_839543_839728,Pf3D7_02_v3,839543,839728,839635.5,186,Inf,PF3D7_0220800,PF3D7_0220800,PF3D7_0220800
Pf3D7_03_v3_221352_221639,Pf3D7_03_v3,221352,221639,221495.5,288,289832.5,PfCSP_1,PfCSP,PfCSP
Pf3D7_03_v3_511201_511455,Pf3D7_03_v3,511201,511455,511328,255,177877.5,PF3D7_0311900,PF3D7_0311900,PF3D7_0311900
Pf3D7_03_v3_689065_689346,Pf3D7_03_v3,689065,689346,689205.5,282,Inf,B9,B9,B9
Pf3D7_04_v3_110441_110612,Pf3D7_04_v3,110441,110612,110526.5,172,206411,PF3D7_0401900,PF3D7_0401900,PF3D7_0401900
Pf3D7_04_v3_316831_317044,Pf3D7_04_v3,316831,317044,316937.5,214,12492.5,ASP,ASP,ASP
Pf3D7_04_v3_329321_329539,Pf3D7_04_v3,329321,329539,329430,219,199977,Pfs16,Pfs16,Pfs16
Pf3D7_04_v3_529295_529519,Pf3D7_04_v3,529295,529519,529407,225,1710.5,PF3D7_0411900_1,PF3D7_0411900_1,PF3D7_0411900_1
Pf3D7_04_v3_530993_531242,Pf3D7_04_v3,530993,531242,531117.5,250,217070,PF3D7_0411900_2,PF3D7_0411900_2,PF3D7_0411900_2
Pf3D7_04_v3_748112_748263,Pf3D7_04_v3,748112,748263,748187.5,152,306,PfDHFR_1,PfDHFR_16_59,PfDHFR_16_59
Pf3D7_04_v3_748409_748578,Pf3D7_04_v3,748409,748578,748493.5,170,143189.5,PfDHFR_2,PfDHFR_108_164,PfDHFR_108_164
Pf3D7_04_v3_891578_891788,Pf3D7_04_v3,891578,891788,891683,211,145957.5,PF3D7_0419900_2,PF3D7_0419900_2,PF3D7_0419900_2
Pf3D7_04_v3_1037534_1037747,Pf3D7_04_v3,1037534,1037747,1037640.5,214,64833,PF3D7_0422500,PF3D7_0422500,PF3D7_0422500
Pf3D7_04_v3_1102360_1102587,Pf3D7_04_v3,1102360,1102587,1102473.5,228,Inf,PF3D7_0424400,PF3D7_0424400,PF3D7_0424400
Pf3D7_05_v3_91860_92094,Pf3D7_05_v3,91860,92094,91977,235,40223,PF3D7_0501800,PF3D7_0501800,PF3D7_0501800
Pf3D7_05_v3_132070_132330,Pf3D7_05_v3,132070,132330,132200,261,40631,PF3D7_0503200,PF3D7_0503200,PF3D7_0503200
Pf3D7_05_v3_172726_172936,Pf3D7_05_v3,172726,172936,172831,211,156706,PF3D7_0504400,PF3D7_0504400,PF3D7_0504400
Pf3D7_05_v3_329386_329688,Pf3D7_05_v3,329386,329688,329537,303,40275.5,P38,P38,P38
Pf3D7_05_v3_369684_369941,Pf3D7_05_v3,369684,369941,369812.5,258,426995.5,PF3D7_0508900,PF3D7_0508900,PF3D7_0508900
Pf3D7_05_v3_796688_796928,Pf3D7_05_v3,796688,796928,796808,241,161394.5,PF3D7_0519300,PF3D7_0519300,PF3D7_0519300
Pf3D7_05_v3_958099_958306,Pf3D7_05_v3,958099,958306,958202.5,208,227.5,PfMDR1_1,MDR1_86,MDR1_86_
Pf3D7_05_v3_958394_958466,Pf3D7_05_v3,958394,958466,958430,73,2574,PfMDR1_2,MDR1_184,MDR1_184
Pf3D7_05_v3_960987_961021,Pf3D7_05_v3,960987,961021,961004,35,595,PfMDR1_3,MDR1_1034_1042,MDR1_1034_1042
Pf3D7_05_v3_961555_961643,Pf3D7_05_v3,961555,961643,961599,89,81762.5,PfMDR1_4,MDR1_1246,MDR1_1246
Pf3D7_05_v3_1043224_1043499,Pf3D7_05_v3,1043224,1043499,1043361.5,276,Inf,PF3D7_0525100,PF3D7_0525100,PF3D7_0525100
Pf3D7_06_v3_532138_532359,Pf3D7_06_v3,532138,532359,532248.5,222,132528.5,PF3D7_0612900,PF3D7_0612900,PF3D7_0612900
Pf3D7_06_v3_664652_664902,Pf3D7_06_v3,664652,664902,664777,251,187175.5,PF3D7_0615900,PF3D7_0615900,PF3D7_0615900
Pf3D7_06_v3_851816_852089,Pf3D7_06_v3,851816,852089,851952.5,274,86246.5,MSP10,MSP10,MSP10
Pf3D7_06_v3_938127_938271,Pf3D7_06_v3,938127,938271,938199,145,344601,CS,CS,CS
Pf3D7_06_v3_1282673_1282927,Pf3D7_06_v3,1282673,1282927,1282800,255,Inf,PF3D7_0630600,PF3D7_0630600,PF3D7_0630600
Pf3D7_07_v3_340731_340878,Pf3D7_07_v3,340731,340878,340804.5,148,134765,RAMA,RAMA,RAMA
Pf3D7_07_v3_475461_475678,Pf3D7_07_v3,475461,475678,475569.5,218,30206,PF3D7_0710400,PF3D7_0710400,PF3D7_0710400
Pf3D7_07_v3_505632_505919,Pf3D7_07_v3,505632,505919,505775.5,288,211608,PF3D7_0711500,PF3D7_0711500,PF3D7_0711500
Pf3D7_07_v3_717301_717466,Pf3D7_07_v3,717301,717466,717383.5,166,326745.5,PF3D7_0716300,PF3D7_0716300,PF3D7_0716300
Pf3D7_07_v3_1044052_1044206,Pf3D7_07_v3,1044052,1044206,1044129,155,169294.5,PF3D7_0724700,PF3D7_0724700,PF3D7_0724700
Pf3D7_07_v3_1213307_1213540,Pf3D7_07_v3,1213307,1213540,1213423.5,234,49146.5,PF3D7_0728200,PF3D7_0728200,PF3D7_0728200
Pf3D7_07_v3_1262471_1262669,Pf3D7_07_v3,1262471,1262669,1262570,199,Inf,PF3D7_0729700,PF3D7_0729700,PF3D7_0729700
Pf3D7_08_v3_149874_150176,Pf3D7_08_v3,149874,150176,150025,303,186511.5,PF3D7_0802000,PF3D7_0802000,PF3D7_0802000
Pf3D7_08_v3_336417_336656,Pf3D7_08_v3,336417,336656,336536.5,240,2941.5,PF3D7_0806200,PF3D7_0806200,PF3D7_0806200
Pf3D7_08_v3_339396_339560,Pf3D7_08_v3,339396,339560,339478,165,60348,PF3D7_0806300,PF3D7_0806300,PF3D7_0806300
Pf3D7_08_v3_399722_399930,Pf3D7_08_v3,399722,399930,399826,209,76422,PF3D7_0807800,PF3D7_0807800,PF3D7_0807800
Pf3D7_08_v3_476124_476372,Pf3D7_08_v3,476124,476372,476248,249,73446,PF3D7_0809400,PF3D7_0809400,PF3D7_0809400
Pf3D7_08_v3_549674_549714,Pf3D7_08_v3,549674,549714,549694,41,405.5,PfDHPS_2,PfDHPS_540_613,PfDHPS_540_613
Pf3D7_08_v3_549987_550212,Pf3D7_08_v3,549987,550212,550099.5,226,626280.5,PfDHPS_1,DHPS_436_437,DHPS_436_437
Pf3D7_08_v3_1176255_1176505,Pf3D7_08_v3,1176255,1176505,1176380,251,61278.5,PF3D7_0827100,PF3D7_0827100,PF3D7_0827100
Pf3D7_08_v3_1237546_1237771,Pf3D7_08_v3,1237546,1237771,1237658.5,226,75621.5,GAMA,GAMA,GAMA
Pf3D7_08_v3_1313192_1313368,Pf3D7_08_v3,1313192,1313368,1313280,177,1574.5,PF3D7_0830800_1,PF3D7_0830800_1,PF3D7_0830800_1
Pf3D7_08_v3_1314745_1314964,Pf3D7_08_v3,1314745,1314964,1314854.5,220,Inf,PF3D7_0830800_2,PF3D7_0830800_2,PF3D7_0830800_2
Pf3D7_09_v3_270814_271033,Pf3D7_09_v3,270814,271033,270923.5,220,11852.5,RhopH3,RhopH3,RhopH3
Pf3D7_09_v3_282697_282855,Pf3D7_09_v3,282697,282855,282776,159,169837.5,PF3D7_0905600,PF3D7_0905600,PF3D7_0905600
Pf3D7_09_v3_452517_452710,Pf3D7_09_v3,452517,452710,452613.5,194,926561,PF3D7_0910000,PF3D7_0910000,PF3D7_0910000
Pf3D7_09_v3_1379053_1379296,Pf3D7_09_v3,1379053,1379296,1379174.5,244,Inf,PF3D7_0935400,PF3D7_0935400,PF3D7_0935400
Pf3D7_10_v3_317476_317693,Pf3D7_10_v3,317476,317693,317584.5,218,43992,PF3D7_1007900,PF3D7_1007900,PF3D7_1007900
Pf3D7_10_v3_361460_361693,Pf3D7_10_v3,361460,361693,361576.5,234,109703.5,PF3D7_1008700,PF3D7_1008700,PF3D7_1008700
Pf3D7_10_v3_471150_471410,Pf3D7_10_v3,471150,471410,471280,261,269432,PF10_0119,PF10_0119,PF10_0119
Pf3D7_10_v3_740621_740803,Pf3D7_10_v3,740621,740803,740712,183,181540,PF3D7_1018600,PF3D7_1018600,PF3D7_1018600
Pf3D7_10_v3_922179_922325,Pf3D7_10_v3,922179,922325,922252,147,461548.5,PF3D7_1022000,PF3D7_1022000,PF3D7_1022000
Pf3D7_10_v3_1383724_1383877,Pf3D7_10_v3,1383724,1383877,1383800.5,154,8933,PF3D7_1034900_1,PF3D7_1034900_1,PF3D7_1034900_1
Pf3D7_10_v3_1392591_1392876,Pf3D7_10_v3,1392591,1392876,1392733.5,286,21795.5,PF3D7_1035100,PF3D7_1035100,PF3D7_1035100
Pf3D7_10_v3_1414387_1414671,Pf3D7_10_v3,1414387,1414671,1414529,285,13146.5,PF3D7_1035700,PF3D7_1035700,PF3D7_1035700
Pf3D7_10_v3_1427588_1427763,Pf3D7_10_v3,1427588,1427763,1427675.5,176,Inf,MSP11.H103.MSP3.7,MSP11.H103.MSP3.7,MSP11.H103.MSP3.7
Pf3D7_11_v3_408532_408761,Pf3D7_11_v3,408532,408761,408646.5,230,156519.5,PF3D7_1110200,PF3D7_1110200,PF3D7_1110200
Pf3D7_11_v3_565037_565295,Pf3D7_11_v3,565037,565295,565166,259,441848.5,PF3D7_1114900,PF3D7_1114900,PF3D7_1114900
Pf3D7_11_v3_1006907_1007122,Pf3D7_11_v3,1006907,1007122,1007014.5,216,11828.5,PF3D7_1125700,PF3D7_1125700,PF3D7_1125700
Pf3D7_11_v3_1018698_1018988,Pf3D7_11_v3,1018698,1018988,1018843,291,1565,PF3D7_1126100_1,PF3D7_1126100_1,PF3D7_1126100_1
Pf3D7_11_v3_1020321_1020495,Pf3D7_11_v3,1020321,1020495,1020408,175,106710.5,PF3D7_1126100_2,PF3D7_1126100_2,PF3D7_1126100_2
Pf3D7_11_v3_1127023_1127214,Pf3D7_11_v3,1127023,1127214,1127118.5,192,167287,PF3D7_1129100,PF3D7_1129100,PF3D7_1129100
Pf3D7_11_v3_1294308_1294503,Pf3D7_11_v3,1294308,1294503,1294405.5,196,125390,PfAMA_1,PfAMA1,PfAMA1
Pf3D7_11_v3_1419713_1419878,Pf3D7_11_v3,1419713,1419878,1419795.5,166,382364.5,PF11_0373,PF11_0373,PF11_0373
Pf3D7_11_v3_1802027_1802293,Pf3D7_11_v3,1802027,1802293,1802160,267,132822.5,PF3D7_1145400,PF3D7_1145400,PF3D7_1145400
Pf3D7_11_v3_1934870_1935095,Pf3D7_11_v3,1934870,1935095,1934982.5,226,Inf,PF3D7_1148700_1,PF3D7_1148700_1,PF3D7_1148700_1
Pf3D7_12_v3_529539_529804,Pf3D7_12_v3,529539,529804,529671.5,266,354959,PF3D7_1211900,PF3D7_1211900,PF3D7_1211900
Pf3D7_12_v3_884553_884708,Pf3D7_12_v3,884553,884708,884630.5,156,90079,GRP94,GRP94,GRP94
Pf3D7_12_v3_974605_974814,Pf3D7_12_v3,974605,974814,974709.5,210,426096.5,PF3D7_1224000,PF3D7_1224000,PF3D7_1224000
Pf3D7_12_v3_1400707_1400905,Pf3D7_12_v3,1400707,1400905,1400806,199,262714.5,PF3D7_1233600,PF3D7_1233600,PF3D7_1233600
Pf3D7_12_v3_1663439_1663602,Pf3D7_12_v3,1663439,1663602,1663520.5,164,271322,PF3D7_1239800_1,PF3D7_1239800_1,PF3D7_1239800_1
Pf3D7_12_v3_1934716_1934969,Pf3D7_12_v3,1934716,1934969,1934842.5,254,115399.5,PF3D7_1246500,PF3D7_1246500,PF3D7_1246500
Pf3D7_12_v3_2050123_2050361,Pf3D7_12_v3,2050123,2050361,2050242,239,18703.5,PF3D7_1250100,PF3D7_1250100,PF3D7_1250100
Pf3D7_12_v3_2068829_2069062,Pf3D7_12_v3,2068829,2069062,2068945.5,234,49276,PF3D7_1250400,PF3D7_1250400,PF3D7_1250400
Pf3D7_12_v3_2118119_2118324,Pf3D7_12_v3,2118119,2118324,2118221.5,206,Inf,PF3D7_1252100,PF3D7_1252100,PF3D7_1252100
Pf3D7_13_v3_146635_146897,Pf3D7_13_v3,146635,146897,146766,263,9982.5,PF3D7_1302700,PF3D7_1302700,PF3D7_1302700
Pf3D7_13_v3_156669_156828,Pf3D7_13_v3,156669,156828,156748.5,160,307023,PF3D7_1302900,PF3D7_1302900,PF3D7_1302900
Pf3D7_13_v3_463695_463848,Pf3D7_13_v3,463695,463848,463771.5,154,389010,MAL13P1.50,MAL13P1.50,MAL13P1.50
Pf3D7_13_v3_852665_852898,Pf3D7_13_v3,852665,852898,852781.5,234,59049.5,PF3D7_1320700,PF3D7_1320700,PF3D7_1320700
Pf3D7_13_v3_911710_911952,Pf3D7_13_v3,911710,911952,911831,243,23963.5,PF13_0125,PF13_0125,PF13_0125
Pf3D7_13_v3_935650_935939,Pf3D7_13_v3,935650,935939,935794.5,290,297404.5,PF3D7_1322200,PF3D7_1322200,PF3D7_1322200
Pf3D7_13_v3_1233115_1233283,Pf3D7_13_v3,1233115,1233283,1233199,169,117664,PF3D7_1329100,PF3D7_1329100,PF3D7_1329100
Pf3D7_13_v3_1350741_1350985,Pf3D7_13_v3,1350741,1350985,1350863,245,16311.5,PF3D7_1332900,PF3D7_1332900,PF3D7_1332900
Pf3D7_13_v3_1367027_1367322,Pf3D7_13_v3,1367027,1367322,1367174.5,296,36909,PF3D7_1333200,PF3D7_1333200,PF3D7_1333200
Pf3D7_13_v3_1403996_1404171,Pf3D7_13_v3,1403996,1404171,1404083.5,176,5168,MSRP4,MSRP4,MSRP4
Pf3D7_13_v3_1409148_1409355,Pf3D7_13_v3,1409148,1409355,1409251.5,208,55967,MSRP3,MSRP3,MSRP3
Pf3D7_13_v3_1465059_1465378,Pf3D7_13_v3,1465059,1465378,1465218.5,320,145963,PfTRAP_1,PfTRAP,PfTRAP
Pf3D7_13_v3_1611055_1611308,Pf3D7_13_v3,1611055,1611308,1611181.5,254,114166.5,PF3D7_1340400,PF3D7_1340400,PF3D7_1340400
Pf3D7_13_v3_1725230_1725466,Pf3D7_13_v3,1725230,1725466,1725348,237,142189.5,PfKelch13C580Y,PfKelch13_520_580,PfKelch13_520_580
Pf3D7_13_v3_1867445_1867630,Pf3D7_13_v3,1867445,1867630,1867537.5,186,246974.5,PF3D7_1346400,PF3D7_1346400,PF3D7_1346400
Pf3D7_13_v3_2114378_2114646,Pf3D7_13_v3,2114378,2114646,2114512,269,10236.5,PF3D7_1352900,PF3D7_1352900,PF3D7_1352900
Pf3D7_13_v3_2124611_2124886,Pf3D7_13_v3,2124611,2124886,2124748.5,276,37184.5,PF3D7_1353100,PF3D7_1353100,PF3D7_1353100
Pf3D7_13_v3_2161794_2162072,Pf3D7_13_v3,2161794,2162072,2161933,279,Inf,PF3D7_1354200,PF3D7_1354200,PF3D7_1354200
Pf3D7_14_v3_283947_284182,Pf3D7_14_v3,283947,284182,284064.5,236,5215,PF3D7_1407800,PF3D7_1407800,PF3D7_1407800
Pf3D7_14_v3_289133_289426,Pf3D7_14_v3,289133,289426,289279.5,294,5101,PF3D7_1407900,PF3D7_1407900,PF3D7_1407900
Pf3D7_14_v3_294268_294493,Pf3D7_14_v3,294268,294493,294380.5,226,4076.5,PF3D7_1408000,PF3D7_1408000,PF3D7_1408000
Pf3D7_14_v3_298316_298598,Pf3D7_14_v3,298316,298598,298457,283,79407,PF3D7_1408100_1,PF3D7_1408100_1,PF3D7_1408100_1
Pf3D7_14_v3_377736_377992,Pf3D7_14_v3,377736,377992,377864,257,29558.5,PF3D7_1409700,PF3D7_1409700,PF3D7_1409700
Pf3D7_14_v3_407305_407540,Pf3D7_14_v3,407305,407540,407422.5,236,364118,PF3D7_1410300,PF3D7_1410300,PF3D7_1410300
Pf3D7_14_v3_771446_771635,Pf3D7_14_v3,771446,771635,771540.5,190,89897,PF3D7_1418100,PF3D7_1418100,PF3D7_1418100
Pf3D7_14_v3_861349_861526,Pf3D7_14_v3,861349,861526,861437.5,178,304820.5,Pf113,Pf113,Pf113
Pf3D7_14_v3_1166135_1166381,Pf3D7_14_v3,1166135,1166381,1166258,247,5147.5,PF3D7_1429500,PF3D7_1429500,PF3D7_1429500
Pf3D7_14_v3_1171269_1171542,Pf3D7_14_v3,1171269,1171542,1171405.5,274,784774,PF3D7_1429800,PF3D7_1429800,PF3D7_1429800
Pf3D7_14_v3_1956091_1956268,Pf3D7_14_v3,1956091,1956268,1956179.5,178,36166,PF3D7_1447900,PF3D7_1447900,PF3D7_1447900
Pf3D7_14_v3_1992262_1992429,Pf3D7_14_v3,1992262,1992429,1992345.5,168,12204,PF3D7_1448500,PF3D7_1448500,PF3D7_1448500
Pf3D7_14_v3_2004441_2004658,Pf3D7_14_v3,2004441,2004658,2004549.5,218,256122,GEST,GEST,GEST
Pf3D7_14_v3_2260555_2260788,Pf3D7_14_v3,2260555,2260788,2260671.5,234,365191.5,PF3D7_1455300,PF3D7_1455300,PF3D7_1455300
Pf3D7_14_v3_2625782_2625944,Pf3D7_14_v3,2625782,2625944,2625863,163,70113,PF3D7_1464700,PF3D7_1464700,PF3D7_1464700
Pf3D7_14_v3_2695875_2696077,Pf3D7_14_v3,2695875,2696077,2695976,203,37745.5,PF3D7_1466200,PF3D7_1466200,PF3D7_1466200
Pf3D7_14_v3_2733575_2733868,Pf3D7_14_v3,2733575,2733868,2733721.5,294,125323.5,PF3D7_1466800,PF3D7_1466800,PF3D7_1466800
Pf3D7_14_v3_2858928_2859162,Pf3D7_14_v3,2858928,2859162,2859045,235,95695.5,PF3D7_1469600,PF3D7_1469600,PF3D7_1469600
Pf3D7_14_v3_2954603_2954878,Pf3D7_14_v3,2954603,2954878,2954740.5,276,44716.5,PF3D7_1472300,PF3D7_1472300,PF3D7_1472300
Pf3D7_14_v3_2999349_2999565,Pf3D7_14_v3,2999349,2999565,2999457,217,126681.5,PF3D7_1473700,PF3D7_1473700,PF3D7_1473700
Pf3D7_14_v3_3126045_3126232,Pf3D7_14_v3,3126045,3126232,3126138.5,188,Inf,PF3D7_1475900,PF3D7_1475900,PF3D7_1475900
PvDHFR,,NA,NA,NA,NA,NA,PvDHFR,PvDHFR,PvDHFR
